#epsp #epsq #p #q #epsev #epses #Tg #pd #qd #e #t 
0.00000e+00 1.99000e-02 6.28721e+01 3.32494e+01 3.97305e-02 9.74428e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 995.00000000 
0.00000e+00 2.00000e-02 6.28036e+01 3.33052e+01 3.97006e-02 9.76798e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1000.00000000 
0.00000e+00 2.01000e-02 6.27358e+01 3.33606e+01 3.96710e-02 9.79155e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1005.00000000 
0.00000e+00 2.02000e-02 6.26686e+01 3.34157e+01 3.96415e-02 9.81499e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1010.00000000 
0.00000e+00 2.03000e-02 6.26021e+01 3.34704e+01 3.96123e-02 9.83831e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1015.00000000 
0.00000e+00 2.04000e-02 6.25361e+01 3.35247e+01 3.95833e-02 9.86150e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1020.00000000 
0.00000e+00 2.05000e-02 6.24708e+01 3.35787e+01 3.95545e-02 9.88457e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1025.00000000 
0.00000e+00 2.06000e-02 6.24062e+01 3.36324e+01 3.95259e-02 9.90751e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1030.00000000 
0.00000e+00 2.07000e-02 6.23421e+01 3.36856e+01 3.94975e-02 9.93034e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1035.00000000 
0.00000e+00 2.08000e-02 6.22786e+01 3.37386e+01 3.94693e-02 9.95304e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1040.00000000 
0.00000e+00 2.09000e-02 6.22158e+01 3.37912e+01 3.94414e-02 9.97562e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1045.00000000 
0.00000e+00 2.10000e-02 6.21535e+01 3.38434e+01 3.94136e-02 9.99808e-03 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1050.00000000 
0.00000e+00 2.11000e-02 6.20919e+01 3.38953e+01 3.93860e-02 1.00204e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1055.00000000 
0.00000e+00 2.12000e-02 6.20308e+01 3.39469e+01 3.93587e-02 1.00426e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1060.00000000 
0.00000e+00 2.13000e-02 6.19703e+01 3.39982e+01 3.93315e-02 1.00647e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1065.00000000 
0.00000e+00 2.14000e-02 6.19104e+01 3.40491e+01 3.93045e-02 1.00867e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1070.00000000 
0.00000e+00 2.15000e-02 6.18511e+01 3.40997e+01 3.92778e-02 1.01086e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1075.00000000 
0.00000e+00 2.16000e-02 6.17924e+01 3.41500e+01 3.92512e-02 1.01304e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1080.00000000 
0.00000e+00 2.17000e-02 6.17342e+01 3.42000e+01 3.92248e-02 1.01520e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1085.00000000 
0.00000e+00 2.18000e-02 6.16766e+01 3.42496e+01 3.91987e-02 1.01735e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1090.00000000 
0.00000e+00 2.19000e-02 6.16195e+01 3.42990e+01 3.91727e-02 1.01949e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1095.00000000 
0.00000e+00 2.20000e-02 6.15630e+01 3.43481e+01 3.91469e-02 1.02162e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1100.00000000 
0.00000e+00 2.21000e-02 6.15070e+01 3.43968e+01 3.91213e-02 1.02374e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1105.00000000 
0.00000e+00 2.22000e-02 6.14516e+01 3.44453e+01 3.90959e-02 1.02585e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1110.00000000 
0.00000e+00 2.23000e-02 6.13967e+01 3.44934e+01 3.90707e-02 1.02795e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1115.00000000 
0.00000e+00 2.24000e-02 6.13424e+01 3.45413e+01 3.90457e-02 1.03003e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1120.00000000 
0.00000e+00 2.25000e-02 6.12886e+01 3.45888e+01 3.90208e-02 1.03211e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1125.00000000 
0.00000e+00 2.26000e-02 6.12353e+01 3.46361e+01 3.89962e-02 1.03417e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1130.00000000 
0.00000e+00 2.27000e-02 6.11826e+01 3.46831e+01 3.89717e-02 1.03622e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1135.00000000 
0.00000e+00 2.28000e-02 6.11303e+01 3.47299e+01 3.89474e-02 1.03827e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1140.00000000 
0.00000e+00 2.29000e-02 6.10786e+01 3.47763e+01 3.89234e-02 1.04030e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1145.00000000 
0.00000e+00 2.30000e-02 6.10274e+01 3.48225e+01 3.88994e-02 1.04232e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1150.00000000 
0.00000e+00 2.31000e-02 6.09767e+01 3.48684e+01 3.88757e-02 1.04433e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1155.00000000 
0.00000e+00 2.32000e-02 6.09265e+01 3.49140e+01 3.88522e-02 1.04633e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1160.00000000 
0.00000e+00 2.33000e-02 6.08769e+01 3.49593e+01 3.88288e-02 1.04832e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1165.00000000 
0.00000e+00 2.34000e-02 6.08277e+01 3.50044e+01 3.88056e-02 1.05030e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1170.00000000 
0.00000e+00 2.35000e-02 6.07790e+01 3.50493e+01 3.87826e-02 1.05227e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1175.00000000 
0.00000e+00 2.36000e-02 6.07307e+01 3.50938e+01 3.87597e-02 1.05422e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1180.00000000 
0.00000e+00 2.37000e-02 6.06830e+01 3.51381e+01 3.87371e-02 1.05617e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1185.00000000 
0.00000e+00 2.38000e-02 6.06358e+01 3.51822e+01 3.87146e-02 1.05811e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1190.00000000 
0.00000e+00 2.39000e-02 6.05890e+01 3.52260e+01 3.86923e-02 1.06004e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1195.00000000 
0.00000e+00 2.40000e-02 6.05427e+01 3.52696e+01 3.86701e-02 1.06196e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1200.00000000 
0.00000e+00 2.41000e-02 6.04969e+01 3.53129e+01 3.86481e-02 1.06387e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1205.00000000 
0.00000e+00 2.42000e-02 6.04515e+01 3.53560e+01 3.86263e-02 1.06576e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1210.00000000 
